tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037603301,63362,1350,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3054,10497573.2587891,14152.6840473093
6037603302,53173,1585,Very Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3055,12228413.0742188,15265.2986007505
6037603400,66786,1444,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3056,12212980.8388672,15582.4220506748
6037603500,93361,857,Low Income,No,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3057,8549668.77050781,13077.623011321
6037603600,77865,1377,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,3058,10083412.03125,13097.1005143995
6037107020,80739,1230,Low Income,No,No,Yes,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,3059,10674902.7763672,14598.5940419334
6037108101,141250,773,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3060,12266855.5654297,14442.5173721994
6037108102,109091,1148,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3061,23081370.9990234,18310.673940999
6037108103,130585,1000,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3062,27776643.046875,35922.7260798978
6037108104,150125,575,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3063,9009471.14160156,14606.2062077053
6037108202,135603,2872,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3064,64178248.4638672,35709.8831355137
6037108203,128646,1130,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3065,14381515.4912109,16269.5127036229
6037108204,125536,629,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3066,16049102.4570313,21734.9878647895
6037109100,70000,864,Low Income,Yes,No,Yes,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,3067,29181021.1025391,26282.8040347259
6037109200,111293,1004,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3068,10956303.3769531,15922.3280802301
6037109300,96339,959,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3069,13116617.7978516,17334.5085745446
6037109400,83986,1151,Low Income,No,No,Yes,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,3070,13685638.0429688,17525.934223217
6037109500,53594,1027,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,3071,12907395.8837891,20454.3625085122
6037109601,95820,1346,Moderate Income,No,No,Yes,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,3072,24327553.3310547,20047.865011295
6037109603,65060,1299,Low Income,Yes,No,Yes,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,3073,10751151.0771484,13424.2796976845
6037109604,91776,891,Low Income,No,No,Yes,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,3074,12653709.8955078,14351.5983047844
